program	evidence_question	status	effect_direction	effect_size	q	n_people	measurement	independence_note	claim_boundary
P2	GSE302658_baseline_symptom	UNSUPPORTED	negative	-0.0029971495683632	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P2	GSE302658_within_patient_symptom_change	UNSUPPORTED	negative	-0.105111738739404	0.521265834025515	95.0	change association; 0/8 domains q<0.05; best pressing_deep	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P2	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P2	GSE286347_painful_painless_methylation_burden	UNSUPPORTED	negative	-0.0542002196932914	0.6085969405198082	92.0	held-out signed burden from 27 fixed PROPGER regions	PROPENG participants distinct from discovery cohort	methylation burden, not RNA-score validation
P2	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.0123123634137247	0.985710142898571	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P2	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P2	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P2	GSE295206_Nageotte_burden	UNSUPPORTED	negative	-0.2571428571428572	0.9178571428571428	6.0	Spearman with annotated-spot burden; best contrast	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P3	sural_DPN_case_association	EXPLORATORY	positive	0.0254459559081848	0.0751391465677179	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P3	DRG_Nageotte_ROI_association	UNSUPPORTED	negative	-0.0010978100318407	0.28125	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P3	GSE302658_baseline_symptom	UNSUPPORTED	positive	0.14096396084471	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P3	GSE302658_within_patient_symptom_change	UNSUPPORTED	negative	-0.188765691643697	0.248387322071194	95.0	change association; 0/8 domains q<0.05; best paresthesia_dysesthesia	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P3	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P3	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P3	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.2106095505681533	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P3	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P3	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P3	GSE295206_Nageotte_burden	UNSUPPORTED	positive	0.8285714285714287	0.525	6.0	Spearman with annotated-spot burden; best adjacent	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P4	sural_DPN_case_association	SUPPORTED	negative	-0.0163320793528477	0.0194805194805194	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P4	DRG_Nageotte_ROI_association	EXPLORATORY	positive	0.0271329145060461	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P4	GSE302658_baseline_symptom	UNSUPPORTED	negative	-0.0193886212406353	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P4	GSE302658_within_patient_symptom_change	SUPPORTED	positive	0.284166456561453	0.0230634689994652	95.0	change association; 3/8 domains q<0.05; best burning_superficial	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P4	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P4	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P4	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.1548652939323531	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P4	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P4	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P4	GSE295206_Nageotte_burden	UNSUPPORTED	positive	0.6	0.725	6.0	Spearman with annotated-spot burden; best contrast	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P5	sural_DPN_case_association	UNSUPPORTED	positive	0.0067523960673221	0.6341991341991342	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P5	DRG_Nageotte_ROI_association	EXPLORATORY	negative	-0.0358917718252527	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P5	GSE302658_baseline_symptom	UNSUPPORTED	NA			0.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P5	GSE302658_within_patient_symptom_change	UNSUPPORTED	NA			0.0	change association; 0/8 domains q<0.05; best npsi_total	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P5	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA			0.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P5	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P5	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	positive	0.3237876381871321	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P5	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P5	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P5	GSE295206_Nageotte_burden	UNSUPPORTED	negative	-0.0857142857142857	0.9194444444444444	6.0	Spearman with annotated-spot burden; best whole_section_score	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P6	sural_DPN_case_association	UNSUPPORTED	positive	0.0098280128728479	0.5430194805194806	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P6	DRG_Nageotte_ROI_association	EXPLORATORY	positive	0.0212271060763585	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P6	GSE302658_baseline_symptom	UNSUPPORTED	positive	0.0437232317266936	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P6	GSE302658_within_patient_symptom_change	UNSUPPORTED	negative	-0.116242403673193	0.528421061694447	95.0	change association; 0/8 domains q<0.05; best paresthesia_dysesthesia	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P6	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P6	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P6	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.2230269456445943	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P6	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P6	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P6	GSE295206_Nageotte_burden	UNSUPPORTED	negative	-0.4285714285714286	0.9178571428571428	6.0	Spearman with annotated-spot burden; best contrast	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P7	sural_DPN_case_association	EXPLORATORY	positive	0.0267471692281034	0.0751391465677179	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P7	DRG_Nageotte_ROI_association	EXPLORATORY	negative	-0.0110144455749961	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P7	GSE302658_baseline_symptom	UNSUPPORTED	positive	0.149250081382366	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P7	GSE302658_within_patient_symptom_change	UNSUPPORTED	negative	-0.195422756217297	0.248387322071194	95.0	change association; 0/8 domains q<0.05; best pressing_deep	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P7	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P7	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P7	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.1273752056823179	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P7	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P7	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P7	GSE295206_Nageotte_burden	UNSUPPORTED	positive	0.7142857142857143	0.6124999999999999	6.0	Spearman with annotated-spot burden; best adjacent	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P8	sural_DPN_case_association	SUPPORTED	negative	-0.0368927498444749	0.0146103896103896	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P8	DRG_Nageotte_ROI_association	EXPLORATORY	positive	0.0333275262269588	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P8	GSE302658_baseline_symptom	UNSUPPORTED	negative	-0.0053612048687661	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P8	GSE302658_within_patient_symptom_change	UNSUPPORTED	negative	-0.104859715229365	0.521265834025515	95.0	change association; 0/8 domains q<0.05; best pressing_deep	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P8	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P8	GSE286347_painful_painless_methylation_burden	UNSUPPORTED	negative	-0.0602830385536074	0.6085969405198082	92.0	held-out signed burden from 25 fixed PROPGER regions	PROPENG participants distinct from discovery cohort	methylation burden, not RNA-score validation
P8	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.0053724749066637	0.985710142898571	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P8	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P8	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P8	GSE295206_Nageotte_burden	UNSUPPORTED	negative	-0.2	0.9178571428571428	6.0	Spearman with annotated-spot burden; best contrast	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P9	sural_DPN_case_association	NE	NA				fixed RNA score		fewer than 10 measured genes per arm
P9	DRG_Nageotte_ROI_association	NE	NA				spatial ROI score		P9 coverage failure
P9	GSE302658_baseline_symptom	UNSUPPORTED	NA			0.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P9	GSE302658_within_patient_symptom_change	UNSUPPORTED	NA			0.0	change association; 0/8 domains q<0.05; best npsi_total	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P9	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA			0.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P9	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P9	GSE14806x_RNA_pathology_grouping	NE	NA				fixed RNA score		P9 two-arm coverage failure
P9	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P9	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P9	GSE295206_Nageotte_burden	NE	NA				donor burden association		P9 coverage failure
P10	sural_DPN_case_association	SUPPORTED	negative	-0.0160078762843208	0.0146103896103896	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P10	DRG_Nageotte_ROI_association	EXPLORATORY	positive	0.0326343832176214	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P10	GSE302658_baseline_symptom	UNSUPPORTED	negative	-0.0185934988472532	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P10	GSE302658_within_patient_symptom_change	SUPPORTED	positive	0.274508949121638	0.0230634689994652	95.0	change association; 3/8 domains q<0.05; best burning_superficial	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P10	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P10	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P10	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	negative	-0.1580249544323717	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P10	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P10	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P10	GSE295206_Nageotte_burden	UNSUPPORTED	positive	0.2571428571428572	0.9178571428571428	6.0	Spearman with annotated-spot burden; best contrast	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
