task	status	script	code_sha256	command	inputs	outputs	reason	authoritative_outputs
protein_module_TPM	COMPLETED	scripts/07_protein_network_tpm.py	9a8639fb051934ee6e515cc3bab7ece042745284f764952cdc95351c39980c61	project_python scripts/07_protein_network_tpm.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/PROTEIN_OLD_NEW.tsv;results/MODULE_PROGRAM_OLD_NEW.tsv;results/JCI_TPM_OLD_NEW.tsv	No WGCNA rebuild	results/PROTEIN_OLD_NEW.tsv;results/MODULE_PROGRAM_OLD_NEW.tsv;results/JCI_TPM_OLD_NEW.tsv
TF_exclusion	COMPLETED	scripts/09_run_regulators.py	db7eccba4cda87343c15f3a02599606b532bdf090fc97ffefa1df60c8df56d73	project_python scripts/09_run_regulators.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/REGULATOR_EXCLUSION_OLD_NEW.tsv	R4.6.1 successful after retained failed attempts; fixed prior	results/REGULATOR_EXCLUSION_OLD_NEW.tsv
hDRG_parent_gene_layer	COMPLETED	scripts/11_remaining_dependencies.py	94f2f18ddc43582dd7ec30470991a22031d49a2db11ae4721404e4cb7e18bdd3	project_python scripts/11_remaining_dependencies.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/HDRG_PARENT_OLD_NEW.tsv	Conditional deposited-statistic test, not new gene validation	results/HDRG_PARENT_OLD_NEW.tsv
conditional_merged_index	COMPLETED	scripts/11_remaining_dependencies.py	94f2f18ddc43582dd7ec30470991a22031d49a2db11ae4721404e4cb7e18bdd3	project_python scripts/11_remaining_dependencies.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/CONDITIONAL_MERGED_INDEX_ALL.tsv	Numeric historical formula only; no valid formal gene-evidence claim	results/CONDITIONAL_MERGED_INDEX_ALL.tsv
formal_merged_gene_validation	BLOCKED	scripts/11_remaining_dependencies.py	94f2f18ddc43582dd7ec30470991a22031d49a2db11ae4721404e4cb7e18bdd3	project_python scripts/11_remaining_dependencies.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	reports/REMAINING_DEPENDENCY_LIMITATIONS.json	Original JCI statistic/shrinkage provenance unresolved	reports/REMAINING_DEPENDENCY_LIMITATIONS.json
source_annotation_impact	COMPLETED	scripts/11_remaining_dependencies.py	94f2f18ddc43582dd7ec30470991a22031d49a2db11ae4721404e4cb7e18bdd3	project_python scripts/11_remaining_dependencies.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/SOURCE_ANNOTATION_OLD_NEW.tsv.gz	Fixed literal GMT; old overlap-filtered testing family, descriptive only	results/SOURCE_ANNOTATION_OLD_NEW.tsv.gz
spatial_panel_gate	NOT_EVALUABLE	scripts/12_final_audit.py	f2e4c4017bf8b33fd10a3b350312aa7fbcc068e53d9ae9a78f6da0fc7f91e722	project_python scripts/12_final_audit.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/SPATIAL_REPAIRED_PROGRAM_COVERAGE.tsv	0/10 corrected programs meet original panel rule; no large download	results/SPATIAL_REPAIRED_PROGRAM_COVERAGE.tsv
rodent_ocular_parents	COMPLETED	scripts/14_parent_context_impact.py	e6d740edfc9c4192814215ff75a0f4e877bfbbf1014a253f0dcc2ce87a6a7f8d	project_python scripts/14_parent_context_impact.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/RAT_PARENTS_OLD_NEW.tsv;results/OCULAR_PARENTS_OLD_NEW.tsv	Complete original parent projection contexts; cached successful rat run reused after join repair	results/RAT_PARENTS_OLD_NEW.tsv;results/OCULAR_PARENTS_OLD_NEW.tsv
unaffected_DE_pathway_network_primaryTF	COMPLETED				config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	inputs/PROTECTED_FILES.tsv	Reviewed dependency: independent of modified memberships; deliberately not rerun	inputs/PROTECTED_FILES.tsv
unaffected_module_only_localization	COMPLETED				config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	inputs/PROTECTED_FILES.tsv	Reviewed dependency only; no new calculation or validation asserted	inputs/PROTECTED_FILES.tsv
old_exploratory_display_bootstrap_PCA	PLANNED				config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv		Not regenerated; superseded main effects available, old supplementary display not cleared for reuse	
manuscript_and_public_release	PLANNED				config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv		Not requested or executed; no GitHub/Zenodo/DOI change	
strict_background_addendum	COMPLETED	scripts/18_strict_background_addendum.py;scripts/19_strict_dependents.py;scripts/20_strict_checks.py	c064b910064d0dda5774d722a1920a4cc51203f414c57f8d5e220403faf74475	see logs/18,19,20	strict_background_addendum/config/LOCKED_FILES.tsv	strict_background_addendum/consolidated_results;reports/STRICT_ADDENDUM_SUMMARY.json	Four failed initial resolver checks retained. Strict ambiguity-safe background locked and affected dependencies rerun. Original members unchanged.	strict_background_addendum/consolidated_results
