field_name	biological_unit	continuous_or_ordinal	units	sample_donor_key	nerve_type	time_point	n_nonmissing	source_file	figure_table_origin	analysis_candidate_yes_no	reason
Yes (diabetic neuropathy)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	A-Donor_information	NO	keyword found but no direct documented donor-linked clinical key established
Average	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	B-Putative_RBPs	NO	keyword found but no direct documented donor-linked clinical key established
Agenet-like domain [IPR008395]; Fragile X mental retardation syndrome-related protein [IPR040148]; Synaptic functional regulator FMRP, KH0 domain [IPR040472]; F	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Autism 19 (AUTS19) [MIM:615091]: A complex multifactorial, pervasive developmental disorder characterized by impairments in reciprocal social interaction and co	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Chromosomal aberrations involving NUP98 have been found in acute myeloid leukemia. Translocation t(7;11)(p15;p15) with HOXA9. Translocation t(11;17)(p15;p13) wi	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Fragile X syndrome (FXS) [MIM:300624]: An X-linked dominant disease characterized by moderate to severe mental retardation, macroorchidism (enlargement of the t	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2 (IBMPFD2) [MIM:615422]: An autosomal dominant disease character	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 3 (IBMPFD3) [MIM:615424]: An autosomal dominant disease character	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Mental retardation, autosomal dominant 31 (MRD31) [MIM:616158]: A disorder characterized by significantly below average general intellectual functioning associa	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Overall_Average	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Renal cell carcinoma (RCC) [MIM:144700]: Renal cell carcinoma is a heterogeneous group of sporadic or hereditary carcinoma derived from cells of the proximal re	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Retinitis pigmentosa 84 (RP84) [MIM:618220]: A form of retinitis pigmentosa, a retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis p	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
extracellular vesicle [GO:1903561]; obsolete plasma membrane bounded cell projection part [GO:0120038]; plasma membrane bounded cell projection [GO:0120025]; po	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
mitotic cell cycle process [GO:1903047]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of mitotic cell cycle phase transition [GO:1901	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
negative regulation of cation channel activity [GO:2001258]; regulation of cation channel activity [GO:2001257]; positive regulation of chromosome organization 	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
negative regulation of cellular macromolecule biosynthetic process [GO:2000113]; regulation of cellular macromolecule biosynthetic process [GO:2000112]; cellula	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
negative regulation of cellular macromolecule biosynthetic process [GO:2000113]; regulation of cellular macromolecule biosynthetic process [GO:2000112]; regulat	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
organic substance biosynthetic process [GO:1901576]; organic cyclic compound biosynthetic process [GO:1901362]; organic cyclic compound metabolic process [GO:19	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
organic substance biosynthetic process [GO:1901576]; organic cyclic compound metabolic process [GO:1901360]; axo-dendritic protein transport [GO:0099640]; micro	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
organonitrogen compound metabolic process [GO:1901564]; negative regulation of ERBB signaling pathway [GO:1901185]; regulation of ERBB signaling pathway [GO:190	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
positive regulation of cation channel activity [GO:2001259]; regulation of cation channel activity [GO:2001257]; positive regulation of AMPA receptor activity [	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
positive regulation of chromosome organization [GO:2001252]; negative regulation of chromosome organization [GO:2001251]; positive regulation of DNA biosyntheti	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
positive regulation of establishment of protein localization [GO:1904951]; positive regulation of protein import [GO:1904591]; regulation of protein import [GO:	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of ATP biosynthetic process [GO:2001169]; positive regulation of TORC1 signaling [GO:1904263]; regulation of ATP metabolic process [GO:1903578]; regu	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; negative regulation of response to DNA damage stimulus [GO:2001021]; regulation of response to DNA damage s	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; positive regulation of response to DNA damage stimulus [GO:2001022]; regulation of response to DNA damage s	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; reactive nitrogen species metabolic process [GO:2001057]; regulation of miRNA metabolic process [GO:2000628	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; regulation of cellular macromolecule biosynthetic process [GO:2000112]; positive regulation of nucleic acid	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; regulation of cellular macromolecule biosynthetic process [GO:2000112]; regulation of nucleic acid-template	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of RNA biosynthetic process [GO:2001141]; regulation of response to DNA damage stimulus [GO:2001020]; regulation of double-strand break repair [GO:20	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of cellular macromolecule biosynthetic process [GO:2000112]; organic substance biosynthetic process [GO:1901576]; organonitrogen compound biosyntheti	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of cellular macromolecule biosynthetic process [GO:2000112]; positive regulation of RNA binding [GO:1905216]; regulation of RNA binding [GO:1905214];	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of cellular macromolecule biosynthetic process [GO:2000112]; positive regulation of mRNA metabolic process [GO:1903313]; regulation of mRNA metabolic	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
regulation of cellular senescence [GO:2000772]; positive regulation of miRNA metabolic process [GO:2000630]; regulation of miRNA metabolic process [GO:2000628];	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
ribonucleoprotein complex [GO:1990904]; growth cone filopodium [GO:1990812]; messenger ribonucleoprotein complex [GO:1990124]; dendritic filopodium [GO:1902737]	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
supramolecular fiber organization [GO:0097435]; cellular component organization or biogenesis [GO:0071840]; nitrogen compound transport [GO:0071705]; organic su	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	C-RBP_RNA_transport	NO	keyword found but no direct documented donor-linked clinical key established
Embryonic Organ Morphogenesis (GO:0048562)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s177.xlsx	A-Enrichment_Analysis_UP_DPN	NO	keyword found but no direct documented donor-linked clinical key established
Embryonic Skeletal System Morphogenesis (GO:0048704)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s177.xlsx	A-Enrichment_Analysis_UP_DPN	NO	keyword found but no direct documented donor-linked clinical key established
Skeletal System Morphogenesis (GO:0048705)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s177.xlsx	A-Enrichment_Analysis_UP_DPN	NO	keyword found but no direct documented donor-linked clinical key established
Embryonic Skeletal System Morphogenesis (GO:0048704)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s177.xlsx	B-top 10 significant GO terms	NO	keyword found but no direct documented donor-linked clinical key established
Up-regulated sural	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s180.xlsx	UP sural P<0.05 FC>1.5	NO	keyword found but no direct documented donor-linked clinical key established
Up-regulated tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s180.xlsx	UP tibial  P<0.05 FC>1.5	NO	keyword found but no direct documented donor-linked clinical key established
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Blood Vessel Morphogenesis (GO:0048514)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Negative Regulation Of Endothelial Cell Migration (GO:0010596)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	A-Enrichment_Analysis_SURAL_gen	NO	keyword found but no direct documented donor-linked clinical key established
Blood Vessel Morphogenesis (GO:0048514)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s181.xlsx	B - top 10 significant GO terms	NO	keyword found but no direct documented donor-linked clinical key established
Axon Development (GO:0061564)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Axon Ensheathment In Central Nervous System (GO:0032291)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Axon Guidance (GO:0007411)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Axonogenesis (GO:0007409)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Neuron Projection Morphogenesis (GO:0048812)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Regulation Of Macrophage Migration (GO:1905521)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	A- Enrichment_Analysis TIBIAL	NO	keyword found but no direct documented donor-linked clinical key established
Axon Development (GO:0061564)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	B - top significant GO terms	NO	keyword found but no direct documented donor-linked clinical key established
Axonogenesis (GO:0007409)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s182.xlsx	B - top significant GO terms	NO	keyword found but no direct documented donor-linked clinical key established
Sural	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Figure_3B	NO	keyword found but no direct documented donor-linked clinical key established
Tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Figure_3B	NO	keyword found but no direct documented donor-linked clinical key established
Sural	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Figure_6B	NO	keyword found but no direct documented donor-linked clinical key established
Tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Figure_6B	NO	keyword found but no direct documented donor-linked clinical key established
Sural	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Suppl.Figure_6B	NO	keyword found but no direct documented donor-linked clinical key established
Tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Suppl.Figure_6B	NO	keyword found but no direct documented donor-linked clinical key established
Sural	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Suppl.Figure_9	NO	keyword found but no direct documented donor-linked clinical key established
Tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s183.xlsx	Suppl.Figure_9	NO	keyword found but no direct documented donor-linked clinical key established
