contrast_id	human_source_symbol	human_gene_id	human_symbol_mapping_method	human_direction	human_avg_log2FC	rat_gene_id	rat_official_symbol	reciprocal_one_to_one	present_in_rat_matrix	passes_rat_expression_filter
early_allcell_diabetes_vs_control	AP1S3	130340	official_exact	up	0.646010324	367304	Ap1s3	True	True	True
early_allcell_diabetes_vs_control	APBB2	323	official_exact	up	0.591704506	305338	Apbb2	True	True	False
early_allcell_diabetes_vs_control	APOL4	80832	official_exact	up	1.185044825			False	False	False
early_allcell_diabetes_vs_control	APPBP2	10513	official_exact	up	0.619386026	303396	Appbp2	True	True	True
early_allcell_diabetes_vs_control	AQP3	360	official_exact	up	0.691257068	65133	Aqp3	True	True	False
early_allcell_diabetes_vs_control	ARHGAP10	79658	official_exact	up	1.059624117	688429	Arhgap10	True	True	True
early_allcell_diabetes_vs_control	ARHGAP21	57584	official_exact	up	0.767393772	307178	Arhgap21	True	True	True
early_allcell_diabetes_vs_control	ARHGAP4	393	official_exact	down	-0.963021959	246249	Arhgap4	True	True	False
early_allcell_diabetes_vs_control	ARL4A	10124	official_exact	up	0.755171183	29308	Arl4a	True	True	True
early_allcell_diabetes_vs_control	ARSI	340075	official_exact	down	-0.664551702	307404	Arsi	True	True	False
early_allcell_diabetes_vs_control	ARSL	415	official_exact	down	-1.340515148			False	False	False
early_allcell_diabetes_vs_control	ATOSA	56204	official_exact	down	-2.08642949	300836	Atosa	True	True	True
early_allcell_diabetes_vs_control	ATP10A	57194	official_exact	up	0.733001655	365266	Atp10a	True	True	False
early_allcell_diabetes_vs_control	AVPI1	60370	official_exact	up	0.59745538	171386	Avpi1	True	True	True
early_allcell_diabetes_vs_control	B3GALT1	8708	official_exact	up	0.748201261	366064	B3galt1	True	True	True
early_allcell_diabetes_vs_control	B3GALT9	100288842	official_exact	down	-1.543029326	103691796	B3galt9	True	False	False
early_allcell_diabetes_vs_control	BARD1	580	official_exact	up	0.761493052	64557	Bard1	True	True	False
early_allcell_diabetes_vs_control	BBS2	583	official_exact	up	0.730822123	113948	Bbs2	True	True	True
early_allcell_diabetes_vs_control	BCKDHB	594	official_exact	up	0.601245126	29711	Bckdhb	True	True	True
early_allcell_diabetes_vs_control	BCL6	604	official_exact	up	0.768697351	303836	Bcl6	True	True	True
early_allcell_diabetes_vs_control	BCO2	83875	official_exact	up	0.633033469	315644	Bco2	True	True	False
early_allcell_diabetes_vs_control	BLOC1S2	282991	official_exact	down	-0.816293779	293938	Bloc1s2	True	True	True
early_allcell_diabetes_vs_control	BLTP1	84162	official_exact	down	-1.730743843	294978	Bltp1	True	True	True
early_allcell_diabetes_vs_control	BMAL1	406	official_exact	down	-1.468103203	29657	Bmal1	True	True	True
early_allcell_diabetes_vs_control	BPNT2	54928	official_exact	down	-1.99139835	312952	Bpnt2	True	False	False
early_allcell_diabetes_vs_control	BRCA1	672	official_exact	down	-0.74840215	497672	Brca1	True	True	True
early_allcell_diabetes_vs_control	BRINP2	57795	official_exact	up	0.670167138	286895	Brinp2	True	True	True
early_allcell_diabetes_vs_control	BTBD3	22903	official_exact	up	0.634379138	311462	Btbd3	True	True	True
early_allcell_diabetes_vs_control	C12orf57	113246	official_exact	down	-0.688888525	100362005	Grcc10	True	True	False
early_allcell_diabetes_vs_control	C19orf44	84167	official_exact	up	0.588210222	290615	C16h19orf44	True	True	True
early_allcell_diabetes_vs_control	C1QTNF1	114897	official_exact	down	-0.593599664	303701	C1qtnf1	True	True	True
early_allcell_diabetes_vs_control	C2CD3	26005	official_exact	up	0.719113436	293148	C2cd3	True	True	True
early_allcell_diabetes_vs_control	C5	727	official_exact	up	0.650617691	362119	C5	True	True	True
early_allcell_diabetes_vs_control	C6orf52	347744	official_exact	up	0.608020144	498729	C17h6orf52	True	True	True
early_allcell_diabetes_vs_control	C7	730	official_exact	up	0.67210223	117517	C7	True	True	False
early_allcell_diabetes_vs_control	CACNA2D1	781	official_exact	up	0.655684521	25399	Cacna2d1	True	True	True
early_allcell_diabetes_vs_control	CACNA2D3	55799	official_exact	up	0.608213575	306243	Cacna2d3	True	True	True
early_allcell_diabetes_vs_control	CACNA2D4	93589	official_exact	down	-0.898982397	312668	Cacna2d4	True	True	False
early_allcell_diabetes_vs_control	CAPN15	6650	official_exact	down	-0.619833937	303000	Capn15	True	True	True
early_allcell_diabetes_vs_control	CAPN7	23473	official_exact	up	0.623764777	306260	Capn7	True	True	True
early_allcell_diabetes_vs_control	CARS1	833	official_exact	down	-2.226978788	293638	Cars1	True	True	True
early_allcell_diabetes_vs_control	CASTOR1	652968	official_exact	up	0.899554778	360969	Castor1	True	True	True
early_allcell_diabetes_vs_control	CBLN2	147381	official_exact	up	0.716994109	291388	Cbln2	True	True	True
early_allcell_diabetes_vs_control	CCAR1	55749	official_exact	up	0.645899152	361849	Ccar1	True	True	True
early_allcell_diabetes_vs_control	CCDC110	256309	official_exact	down	-0.611897281	290755	Ccdc110	True	False	False
early_allcell_diabetes_vs_control	CCDC14	64770	official_exact	up	0.920291825	288054	Ccdc14	True	True	False
early_allcell_diabetes_vs_control	CCDC88B	283234	official_exact	down	-0.634993603	293698	Ccdc88b	True	True	False
early_allcell_diabetes_vs_control	CCL14	6358	official_exact	down	-0.714017319			False	False	False
early_allcell_diabetes_vs_control	CCN2	1490	official_exact	up	0.998152184	64032	Ccn2	True	True	True
early_allcell_diabetes_vs_control	CCN4	8840	official_exact	up	0.917746306	65154	Ccn4	True	True	True
early_allcell_diabetes_vs_control	CCN5	8839	official_exact	down	-0.94885516	29576	Ccn5	True	True	False
early_allcell_diabetes_vs_control	CCSER1	401145	official_exact	up	0.743769143	500153	Ccser1	True	True	True
early_allcell_diabetes_vs_control	CD248	57124	official_exact	down	-1.300509258	293669	Cd248	True	False	False
early_allcell_diabetes_vs_control	CD58	965	official_exact	up	0.624424563			False	False	False
early_allcell_diabetes_vs_control	CD74	972	official_exact	down	-0.808713879	25599	Cd74	True	True	True
early_allcell_diabetes_vs_control	CD93	22918	official_exact	down	-0.921945946	84398	Cd93	True	True	True
early_allcell_diabetes_vs_control	CDC42BPA	8476	official_exact	up	0.626606371	114116	Cdc42bpa	True	True	True
early_allcell_diabetes_vs_control	CDC42EP1	11135	official_exact	down	-0.80192052	315121	Cdc42ep1	True	True	True
early_allcell_diabetes_vs_control	CDC42EP3	10602	official_exact	up	0.879288248	313838	Cdc42ep3	True	True	True
early_allcell_diabetes_vs_control	CDC6	990	official_exact	down	-1.198744413	360621	Cdc6	True	True	True
early_allcell_diabetes_vs_control	CDKN2A	1029	official_exact	down	-0.862776173			False	False	False
early_allcell_diabetes_vs_control	CENATAC	338657	official_exact	down	-1.139426922	689046	Cenatac	True	True	True
early_allcell_diabetes_vs_control	CENPP	401541	official_exact	down	-0.674176604	679342	Cenpp	True	False	False
early_allcell_diabetes_vs_control	CEP131	22994	official_exact	down	-0.662519912	360672	Cep131	True	True	True
early_allcell_diabetes_vs_control	CEP43	11116	official_exact	down	-1.72961874	683722	Cep43	True	True	True
early_allcell_diabetes_vs_control	CFAP69	79846	official_exact	up	0.602627198	100910867	Cfap69	True	True	True
early_allcell_diabetes_vs_control	CFAP91	89876	official_exact	down	-0.999415965	303920	Cfap91	True	True	False
early_allcell_diabetes_vs_control	CHD9	80205	official_exact	up	0.600596431	307726	Chd9	True	True	True
early_allcell_diabetes_vs_control	CHD9NB	105371267	official_exact	down	-1.223694914	134483616	Chd9nb	True	False	False
early_allcell_diabetes_vs_control	CHI3L1	1116	official_exact	up	0.787719975	89824	Chi3l1	True	True	False
early_allcell_diabetes_vs_control	CHST7	56548	official_exact	up	0.794099256	302302	Chst7	True	True	False
early_allcell_diabetes_vs_control	CIITA	4261	official_exact	down	-0.617537716	85483	Ciita	True	True	False
early_allcell_diabetes_vs_control	CITED2	10370	official_exact	up	0.767766466	114490	Cited2	True	True	True
early_allcell_diabetes_vs_control	CLDN1	9076	official_exact	up	1.043238705	65129	Cldn1	True	True	True
early_allcell_diabetes_vs_control	CLDN11	5010	official_exact	up	0.923169767	84588	Cldn11	True	True	False
early_allcell_diabetes_vs_control	CLDN12	9069	official_exact	up	0.602409044	500000	Cldn12	True	True	True
early_allcell_diabetes_vs_control	CLDN19	149461	official_exact	down	-0.616356448	298487	Cldn19	True	True	True
early_allcell_diabetes_vs_control	CLEC1A	51267	official_exact	up	0.770832241	500337	Clec1a	True	True	True
early_allcell_diabetes_vs_control	CLIP4	79745	official_exact	up	0.756280995	298801	Clip4	True	True	True
early_allcell_diabetes_vs_control	CLK1	1195	official_exact	up	0.638790887	301434	Clk1	True	True	True
early_allcell_diabetes_vs_control	CLK2	1196	official_exact	up	0.806985154	365842	Clk2	True	False	False
early_allcell_diabetes_vs_control	CLOCK	9575	official_exact	up	0.612397107	60447	Clock	True	True	True
early_allcell_diabetes_vs_control	CMPK2	129607	official_exact	up	0.659789484	314004	Cmpk2	True	True	True
early_allcell_diabetes_vs_control	CNOT1	23019	official_exact	up	0.650949257	291841	Cnot1	True	True	True
early_allcell_diabetes_vs_control	COBLL1	22837	official_exact	up	0.849795136	311088	Cobll1	True	True	True
early_allcell_diabetes_vs_control	COL12A1	1303	official_exact	up	0.657332977	25683	Col12a1	True	True	True
early_allcell_diabetes_vs_control	COL15A1	1306	official_exact	down	-0.902368184	298069	Col15a1	True	True	False
early_allcell_diabetes_vs_control	COL1A1	1277	official_exact	down	-0.58600467	29393	Col1a1	True	True	True
early_allcell_diabetes_vs_control	COL6A3	1293	official_exact	down	-1.175054498	367313	Col6a3	True	False	False
early_allcell_diabetes_vs_control	CORO1A	11151	official_exact	down	-0.808000572	155151	Coro1a	True	True	True
early_allcell_diabetes_vs_control	CPLANE1	65250	official_exact	up	0.764054706	310137	Cplane1	True	True	True
early_allcell_diabetes_vs_control	CPNE4	131034	official_exact	down	-0.873277843	367160	Cpne4	True	True	True
early_allcell_diabetes_vs_control	CPSF1	29894	official_exact	up	0.702091516	366952	Cpsf1	True	True	True
early_allcell_diabetes_vs_control	CREB3L2	64764	official_exact	down	-0.925346161	362339	Creb3l2	True	True	True
early_allcell_diabetes_vs_control	CRYAB	1410	official_exact	down	-0.766059369	25420	Cryab	True	True	True
early_allcell_diabetes_vs_control	CRYBG3	131544	official_exact	up	0.709740406	288204	Crybg3	True	True	True
early_allcell_diabetes_vs_control	CSGALNACT2	55454	official_exact	up	0.690054752	297554	Csgalnact2	True	True	True
early_allcell_diabetes_vs_control	CSPG4	1464	official_exact	down	-0.586328343	81651	Cspg4	True	True	True
early_allcell_diabetes_vs_control	CTDSPL2	51496	official_exact	up	0.599442419	311368	Ctdspl2	True	True	True
early_allcell_diabetes_vs_control	CTNNB1	1499	official_exact	up	0.657447131	84353	Ctnnb1	True	True	True
early_allcell_diabetes_vs_control	CXCL12	6387	official_exact	down	-0.66500107	24772	Cxcl12	True	True	True
early_allcell_diabetes_vs_control	CYB561D2	11068	official_exact	down	-0.653867129	363137	Cyb561d2	True	True	True
early_allcell_diabetes_vs_control	CYB5R2	51700	official_exact	down	-0.701100889	365345	Cyb5r2	True	True	True
early_allcell_diabetes_vs_control	CYBA	1535	official_exact	down	-0.887009051	79129	Cyba	True	True	True
early_allcell_diabetes_vs_control	CYP20A1	57404	official_exact	up	0.596158505	316435	Cyp20a1	True	True	True
early_allcell_diabetes_vs_control	CYP2W1	54905	official_exact	up	1.132149388	288517	Cyp2w1	True	False	False
early_allcell_diabetes_vs_control	CYRIB	51571	official_exact	down	-2.668069702	299909	Cyrib	True	True	True
early_allcell_diabetes_vs_control	DARS1	1615	official_exact	down	-1.748652435	116483	Dars1	True	True	True
early_allcell_diabetes_vs_control	DCLK3	85443	official_exact	down	-1.012907587	316023	Dclk3	True	True	True
early_allcell_diabetes_vs_control	DDTL	100037417	official_exact	down	-0.951488882			False	False	False
early_allcell_diabetes_vs_control	DDX17	10521	official_exact	up	0.825313323	315133	Ddx17	True	True	True
early_allcell_diabetes_vs_control	DDX3Y	8653	official_exact	up	0.588356778	100312982	Ddx3y	True	True	False
early_allcell_diabetes_vs_control	DDX43	55510	official_exact	up	0.987320448	682138	Ddx43	True	True	False
early_allcell_diabetes_vs_control	DEF6	50619	official_exact	down	-0.734326619	309642	Def6	True	True	True
early_allcell_diabetes_vs_control	DENND2B	6764	official_exact	down	-1.546435547	308944	Dennd2b	True	True	True
early_allcell_diabetes_vs_control	DENND3	22898	official_exact	down	-0.658201452	315055	Dennd3	True	True	True
early_allcell_diabetes_vs_control	DET1	55070	official_exact	up	0.663033113	308775	Det1	True	True	True
early_allcell_diabetes_vs_control	DGAT1	8694	official_exact	down	-0.708965273	84497	Dgat1	True	True	True
early_allcell_diabetes_vs_control	DIAPH2	1730	official_exact	up	0.632175408	317189	Diaph2	True	True	True
early_allcell_diabetes_vs_control	DIPK1A	388650	official_exact	up	0.662159863	360906	Dipk1a	True	True	True
early_allcell_diabetes_vs_control	DMKN	93099	official_exact	up	0.738039777	361548	Dmkn	True	True	False
early_allcell_diabetes_vs_control	DNAAF10	116143	official_exact	down	-1.824660464	498418	Dnaaf10	True	True	True
early_allcell_diabetes_vs_control	DNAAF9	25943	official_exact	down	-1.864109726	499891	Dnaaf9	True	True	True
early_allcell_diabetes_vs_control	DNAI4	79819	official_exact	down	-1.362740154	313417	Dnai4	True	True	True
early_allcell_diabetes_vs_control	DOCK9	23348	official_exact	up	0.720013464	259237	Dock9	True	True	True
early_allcell_diabetes_vs_control	DRP2	1821	official_exact	down	-0.769314988	66027	Drp2	True	True	True
early_allcell_diabetes_vs_control	DST	667	official_exact	up	0.594527658	316313	Dst	True	True	True
early_allcell_diabetes_vs_control	DUSP5	1847	official_exact	up	0.756009724	171109	Dusp5	True	True	True
early_allcell_diabetes_vs_control	DYNC2I1	55112	official_exact	down	-1.149559923	314523	Dync2i1	True	True	True
early_allcell_diabetes_vs_control	DYNC2I2	89891	official_exact	down	-1.829930172	296618	Dync2i2	True	True	True
early_allcell_diabetes_vs_control	DYNLT2B	255758	official_exact	down	-1.517434364	498095	Dynlt2b	True	True	True
early_allcell_diabetes_vs_control	EEIG1	399665	official_exact	down	-1.488220348	687750	Eeig1	True	True	True
early_allcell_diabetes_vs_control	EFCAB13	124989	official_exact	up	0.598962178			False	False	False
early_allcell_diabetes_vs_control	EFHC1	114327	official_exact	up	0.895441821	301295	Efhc1	True	True	True
early_allcell_diabetes_vs_control	EGR1	1958	official_exact	down	-1.107408999	24330	Egr1	True	True	True
early_allcell_diabetes_vs_control	EGR3	1960	official_exact	down	-0.877183856	25148	Egr3	True	True	True
early_allcell_diabetes_vs_control	EHBP1L1	254102	official_exact	down	-0.744728136	309169	Ehbp1l1	True	True	True
early_allcell_diabetes_vs_control	EIF1	10209	official_exact	down	-0.696896168	287703	Eif1	True	True	True
early_allcell_diabetes_vs_control	ELAPOR1	57535	official_exact	down	-1.571956121	362019	Elapor1	True	False	False
early_allcell_diabetes_vs_control	ELAPOR2	222223	official_exact	down	-1.745095127	502727	Elapor2	True	True	True
early_allcell_diabetes_vs_control	EMID1	129080	official_exact	down	-1.246983076	685462	Emid1	True	True	True
early_allcell_diabetes_vs_control	EMILIN2	84034	official_exact	down	-0.740959909	316736	Emilin2	True	True	False
early_allcell_diabetes_vs_control	ENG	2022	official_exact	down	-0.728034658	497010	Eng	True	True	True
early_allcell_diabetes_vs_control	ENPP1	5167	official_exact	up	0.668794924	85496	Enpp1	True	True	True
early_allcell_diabetes_vs_control	ENPP5	59084	official_exact	up	0.705145336	316249	Enpp5	True	True	True
early_allcell_diabetes_vs_control	ENPP6	133121	official_exact	up	0.634993028	306460	Enpp6	True	True	True
early_allcell_diabetes_vs_control	ENSG00000108448		unresolved_or_ambiguous	down	-1.350221582			False	False	False
early_allcell_diabetes_vs_control	ENSG00000125122		unresolved_or_ambiguous	down	-1.894988557			False	False	False
early_allcell_diabetes_vs_control	ENSG00000130723		unresolved_or_ambiguous	down	-1.748347998			False	False	False
early_allcell_diabetes_vs_control	ENSG00000167747		unresolved_or_ambiguous	down	-2.37995702			False	False	False
early_allcell_diabetes_vs_control	ENSG00000170846		unresolved_or_ambiguous	down	-2.00402198			False	False	False
early_allcell_diabetes_vs_control	ENSG00000182584		unresolved_or_ambiguous	down	-1.612033338			False	False	False
early_allcell_diabetes_vs_control	ENSG00000188707		unresolved_or_ambiguous	down	-1.067950242			False	False	False
early_allcell_diabetes_vs_control	ENSG00000196381		unresolved_or_ambiguous	down	-2.010608249			False	False	False
early_allcell_diabetes_vs_control	ENSG00000198019		unresolved_or_ambiguous	down	-3.210506844			False	False	False
early_allcell_diabetes_vs_control	ENSG00000205212		unresolved_or_ambiguous	down	-2.676989203			False	False	False
early_allcell_diabetes_vs_control	ENSG00000215271		unresolved_or_ambiguous	down	-2.163488503			False	False	False
early_allcell_diabetes_vs_control	ENSG00000221995		unresolved_or_ambiguous	down	-1.972528253			False	False	False
early_allcell_diabetes_vs_control	ENSG00000284976		unresolved_or_ambiguous	down	-2.477319019			False	False	False
early_allcell_diabetes_vs_control	ENSG00000285269		unresolved_or_ambiguous	down	-1.489790331			False	False	False
early_allcell_diabetes_vs_control	ENSG00000285566		unresolved_or_ambiguous	down	-1.431079535			False	False	False
early_allcell_diabetes_vs_control	ENTREP1	9413	official_exact	down	-0.781628399	309415	Entrep1	True	True	False
early_allcell_diabetes_vs_control	ENTREP3	10712	official_exact	down	-2.064051379	310640	Entrep3	True	True	True
early_allcell_diabetes_vs_control	EPRS1	2058	official_exact	down	-1.851090948	289352	Eprs1	True	True	True
early_allcell_diabetes_vs_control	ESAM	90952	official_exact	down	-0.694184791	300519	Esam	True	True	True
early_allcell_diabetes_vs_control	ETV6	2120	official_exact	down	-0.644691446	312777	Etv6	True	True	True
early_allcell_diabetes_vs_control	EVA1C	59271	official_exact	up	0.720102571	360695	Eva1c	True	True	True
early_allcell_diabetes_vs_control	EVL	51466	official_exact	down	-0.58556188	79115	Evl	True	True	True
early_allcell_diabetes_vs_control	FA2H	79152	official_exact	down	-0.980085502	307855	Fa2h	True	True	True
early_allcell_diabetes_vs_control	FABP4	2167	official_exact	down	-1.043821698	79451	Fabp4	True	True	False
early_allcell_diabetes_vs_control	FAM118A	55007	unique_synonym	down	-0.628865414	300120	Siral2	True	True	True
early_allcell_diabetes_vs_control	FAM135A	57579	official_exact	up	0.595874841	367235	Fam135a	True	True	True
early_allcell_diabetes_vs_control	FAM200C	63920	unique_synonym	down	-1.166399673			False	False	False
early_allcell_diabetes_vs_control	FAM83H	286077	unique_synonym	down	-0.596304884	362937	Sack1h	True	True	True
early_allcell_diabetes_vs_control	FCER1G	2207	official_exact	down	-1.052833064	25441	Fcer1g	True	True	True
early_allcell_diabetes_vs_control	FCGBP	8857	official_exact	down	-0.773053605			False	False	False
early_allcell_diabetes_vs_control	FGD2	221472	official_exact	down	-0.712658306	309653	Fgd2	True	True	False
early_allcell_diabetes_vs_control	FGF7	2252	official_exact	up	0.759752522	29348	Fgf7	True	True	True
early_allcell_diabetes_vs_control	FGFBP2	83888	official_exact	down	-0.70966291			False	False	False
early_allcell_diabetes_vs_control	FGFR1OP2	26127	official_exact	up	0.600297808	362463	Fgfr1op2	True	True	True
early_allcell_diabetes_vs_control	FHDC1	85462	official_exact	up	0.66663661	295161	Fhdc1	True	True	True
early_allcell_diabetes_vs_control	FHIP1A	729830	official_exact	down	-1.376560563	365834	Fhip1a	True	False	False
early_allcell_diabetes_vs_control	FHIP1B	84067	official_exact	down	-2.000591492	293343	Fhip1b	True	True	True
early_allcell_diabetes_vs_control	FHIP2B	64760	official_exact	down	-0.997929703	306015	Fhip2b	True	True	True
early_allcell_diabetes_vs_control	FHL1	2273	official_exact	down	-0.813729327	25177	Fhl1	True	True	True
early_allcell_diabetes_vs_control	FHL2	2274	official_exact	up	0.604967889	63839	Fhl2	True	True	True
early_allcell_diabetes_vs_control	FHL3	2275	official_exact	down	-0.714002543	313582	Fhl3	True	True	True
early_allcell_diabetes_vs_control	FIBIN	387758	official_exact	up	0.918614923	499856	Fibin	True	True	True
early_allcell_diabetes_vs_control	FKBP5	2289	official_exact	up	1.211788005	361810	Fkbp5	True	True	True
early_allcell_diabetes_vs_control	FMOD	2331	official_exact	up	0.862625948	64507	Fmod	True	True	True
early_allcell_diabetes_vs_control	FNDC3A	22862	official_exact	up	0.636594681	306022	Fndc3a	True	True	True
early_allcell_diabetes_vs_control	FOSB	2354	official_exact	down	-0.713357691	100360880	Fosb	True	True	True
early_allcell_diabetes_vs_control	FOXO1	2308	official_exact	up	1.027739792	84482	Foxo1	True	True	True
early_allcell_diabetes_vs_control	FOXO3	2309	official_exact	up	0.758033636	294515	Foxo3	True	True	True
early_allcell_diabetes_vs_control	FPR1	2357	official_exact	down	-1.586977291	292409	Fpr1	True	True	False
early_allcell_diabetes_vs_control	FRG1	2483	official_exact	down	-0.659364026	686103	Frg1	True	True	True
early_allcell_diabetes_vs_control	FSCN1	6624	official_exact	down	-0.849314649	683788	Fscn1	True	True	True
early_allcell_diabetes_vs_control	FTL	2512	official_exact	down	-0.746452531	29292	Ftl1	True	True	True
early_allcell_diabetes_vs_control	FZD1	8321	official_exact	up	0.816248088	58868	Fzd1	True	True	True
early_allcell_diabetes_vs_control	FZD6	8323	official_exact	up	0.81239782	282581	Fzd6	True	True	False
early_allcell_diabetes_vs_control	G0S2	50486	official_exact	down	-0.819090799	289388	G0s2	True	True	True
early_allcell_diabetes_vs_control	GABARAP	11337	official_exact	down	-0.590073693	58974	Gabarap	True	True	True
early_allcell_diabetes_vs_control	GABRE	2564	official_exact	up	0.740270574	65191	Gabre	True	True	False
early_allcell_diabetes_vs_control	GAL3ST4	79690	official_exact	down	-0.59749721	498166	Gal3st4	True	True	True
early_allcell_diabetes_vs_control	GARIN1A	346653	official_exact	down	-2.127884214	500060	Garin1a	True	False	False
early_allcell_diabetes_vs_control	GARRE1	9710	official_exact	down	-1.393934295	308509	Garre1	True	True	True
early_allcell_diabetes_vs_control	GBA1	2629	official_exact	down	-1.89893437	684536	Gba1	True	True	True
early_allcell_diabetes_vs_control	GDPD2	54857	official_exact	up	0.745105195	302421	Gdpd2	True	True	True
early_allcell_diabetes_vs_control	GEM	2669	official_exact	up	0.653608067	297902	Gem	True	True	True
early_allcell_diabetes_vs_control	GFAP	2670	official_exact	up	2.658631752	24387	Gfap	True	True	True
early_allcell_diabetes_vs_control	GHR	2690	official_exact	up	0.63468836	25235	Ghr	True	True	True
early_allcell_diabetes_vs_control	GINS2	51659	official_exact	down	-1.155050419	292058	Gins2	True	True	True
early_allcell_diabetes_vs_control	GMFB	2764	official_exact	down	-0.682865738	81661	Gmfb	True	True	True
early_allcell_diabetes_vs_control	GOLGA8B	440270	official_exact	up	1.605217591			False	False	False
early_allcell_diabetes_vs_control	GPNMB	10457	official_exact	down	-0.821917542	113955	Gpnmb	True	True	True
early_allcell_diabetes_vs_control	GPR12	2835	official_exact	up	1.723986617	80840	Gpr12	True	True	False
early_allcell_diabetes_vs_control	GPR83	10888	official_exact	up	0.965031677	140595	Gpr83	True	True	False
early_allcell_diabetes_vs_control	GPSM3	63940	official_exact	down	-0.767922876	406163	Gpsm3	True	True	True
early_allcell_diabetes_vs_control	GRIA4	2893	official_exact	down	-1.576840064	29629	Gria4	True	True	True
early_allcell_diabetes_vs_control	GRIN2C	2905	official_exact	down	-0.910468734	24411	Grin2c	True	False	False
early_allcell_diabetes_vs_control	H1-0	3005	official_exact	down	-1.498733543	24437	H1f0	True	False	False
early_allcell_diabetes_vs_control	H1-10	8971	official_exact	down	-1.251334191	500252	H1f10	True	True	True
early_allcell_diabetes_vs_control	H1-2	3006	official_exact	down	-1.805213134	684681	H1f2	True	False	False
early_allcell_diabetes_vs_control	H1-5	3009	official_exact	down	-2.943796969	680522	H1f5	True	True	True
early_allcell_diabetes_vs_control	H2AJ	55766	official_exact	down	-1.407137889	690795	H2aj	True	True	False
early_allcell_diabetes_vs_control	H2AX	3014	official_exact	down	-2.339048202	500987	H2ax	True	False	False
early_allcell_diabetes_vs_control	H2BC21	8349	official_exact	down	-3.283160688	295274	H2bc21	True	True	False
early_allcell_diabetes_vs_control	H3-3A	3020	official_exact	down	-1.530370564	100361558	H3f3a	True	True	True
early_allcell_diabetes_vs_control	H3-3B	3021	official_exact	down	-1.394558036	117056	H3f3b	True	True	True
early_allcell_diabetes_vs_control	H4C3	8364	official_exact	down	-2.515581402			False	False	False
