rat_ensembl_gene_id	rat_gene_symbol	gene_type	mean_normal	mean_diabetic	log2FC	median_log2FC	hedges_g	welch_p	BH_FDR	tested	same_median_direction	large_effect_abs_log2FC_ge_0.5	direction	mouse_ensembl_gene_id	mouse_gene_symbol	orthology_type	orthology_confidence	ortholog_mapping_basis
ENSRNOG00000000383	Mypn	protein_coding	0.033146666666666665	0.041422	0.0008904377350642534	-0.2891464790038456	0.0016559842350049175	1.0	1.0	False	False	False	up	ENSMUSG00000020067	Mypn	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000384	Atoh7	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000036816	Atoh7	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000000386	Pbld1	protein_coding	0.06378266666666667	0.06229066666666666	-0.13600356182625983	-0.35106605938126156	-0.21276457019436038	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000394	Srgn	protein_coding	0.3388937226666667	0.25864770433333334	-0.17774354856811936	0.11975362922481958	-0.23524413219025703	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000401	Gprc6a	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000019905	Gprc6a	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000405	Vgll2	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000049641	Vgll2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000407	Dcbld1	protein_coding	0.7710463333333334	0.34762699999999996	-0.9907905654335534	-1.1144916133783578	-1.2670310652870787	1.0	1.0	False	True	True	down	ENSMUSG00000019891	Dcbld1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000410	Nepn	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000038624	Nepn	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000446	LOC100911938	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000454	RT1-DOb	protein_coding;retained_intron	0.16141678833333334	0.04333651899999999	-0.9655246055807059	-1.234622918546128	-1.4572944997368225	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000478	AA926063	lincRNA	0.07040336366666668	0.102174852	0.28207711763393606	0.5897188579614099	0.29557795143288773	1.0	1.0	False	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000486	Ggnbp1	protein_coding	0.07043033333333333	0.06863666666666667	-0.014462245774457205	0.3527896093176137	-0.026720577085195905	1.0	1.0	False	False	False	down	ENSMUSG00000048731	Ggnbp1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000499	Tcp11	protein_coding	0.313587	0.09583433333333334	-0.9873878839259198	-0.664604339909983	-1.101638625991112	1.0	1.0	False	True	True	down	ENSMUSG00000062859	Tcp11	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000508	Armc12	protein_coding	0.011373000000000001	0.0001	-0.13997289532477808	0.0	-0.6531972647421801	1.0	1.0	False	False	False	down	ENSMUSG00000024223	Armc12	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000510	Clps	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000024225	Clps	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000525	Pi16	protein_coding;nonsense_mediated_decay;processed_transcript	0.54115192	0.426935743	-0.3150283877041202	0.22843624947182972	-0.2043484080497433	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000552	Col13a1	protein_coding	0.08025196333333333	0.027312234	-0.5006374927942834	-0.5172274595536557	-1.3749098444979748	1.0	1.0	False	True	True	down	ENSMUSG00000058806	Col13a1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000556	Nodal	protein_coding	0.10448166666666665	0.039015	-0.4116369663332904	-0.19289176546437492	-0.483420285352755	1.0	1.0	False	True	False	down	ENSMUSG00000037171	Nodal	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000559	Npffr1	protein_coding	0.005363666666666666	0.0001	-0.07044218600238805	0.0	-0.653197264742185	1.0	1.0	False	False	False	down	ENSMUSG00000020090	Npffr1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000562	Prf1	protein_coding	0.017161000000000003	0.014108666666666667	-0.030026459303467146	0.0	-0.07529022011216334	1.0	1.0	False	False	False	down	ENSMUSG00000037202	Prf1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000563	Adamts14	protein_coding	0.159918513	0.25523681533333337	0.5118023508795282	0.7663073842731503	0.847655813409486	1.0	1.0	False	True	True	up	ENSMUSG00000059901	Adamts14	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000564	Tbata	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000572	Chst3	protein_coding	0.38882433333333327	0.46094133333333337	0.27858015610931497	0.6639203301762809	0.40690246310575023	1.0	1.0	False	True	False	up	ENSMUSG00000057337	Chst3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000580	Calhm4	protein_coding	0.562571	0.325023	-1.0519403116994899	-0.8469641579735845	-0.7760849459342352	1.0	1.0	False	True	True	down	ENSMUSG00000039508	Calhm4	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000582	Ddo	protein_coding	0.14990099999999998	0.3250326666666667	0.7072179858291612	0.5912517750336543	1.2373958816003106	1.0	1.0	False	True	True	up	ENSMUSG00000063428	Ddo	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000605	Hs3st5	protein_coding	0.019602	0.029055	0.07910695768922116	0.0	0.13846950398835073	1.0	1.0	False	False	False	up	ENSMUSG00000044499	Hs3st5	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000606	Pcdh15	protein_coding	0.08391	0.041981333333333336	-0.39371643131734935	-0.27038557122424134	-1.298715529310289	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000607	RGD1559903	protein_coding	0.0001	0.012610333333333335	0.15312116167708467	0.0	0.6531972647421802	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000618	Mdga2	protein_coding	0.24790533333333334	0.13682266666666668	-0.5488231063072624	-0.681079466659587	-1.7732035117505436	1.0	1.0	False	True	True	down	ENSMUSG00000034912	Mdga2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000620	AABR07041078	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000630	AABR07044783	protein_coding	0.18217533333333336	0.16278066666666666	-0.25691984945125124	0.3095056402057248	-0.24558213730579725	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000634	Cabcoco1	protein_coding	0.16266866666666666	0.012884666666666668	-0.8925087738375819	-0.779254471805702	-0.8171067934839562	1.0	1.0	False	True	True	down	ENSMUSG00000019945	Cabcoco1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000638	Zfp365	protein_coding	0.35849200000000003	0.32769200000000004	-0.10609133363487455	-0.2687487075326789	-0.2369637187911407	1.0	1.0	False	True	False	down	ENSMUSG00000037855	Zfp365	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000640	Egr2	protein_coding	0.08671533333333332	0.05091099999999999	-0.3926287587304169	-0.5378441933205469	-0.6893783890124885	1.0	1.0	False	True	False	down	ENSMUSG00000037868	Egr2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000650	AABR07044838	processed_pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000653	Nr5a2	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000026398	Nr5a2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000655	Ptprc	protein_coding	0.3296983333333333	0.16356233333333334	-0.7527095294172097	-0.8903314563134448	-1.2812809363122728	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000691	Foxn4	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000042002	Foxn4	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000692	Ung	protein_coding	1.3903043333333336	1.3618806666666667	-0.0452618342631782	0.13824852092259543	-0.1606782632210281	0.8245843579508068	1.0	True	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000699	Selplg	protein_coding	0.165457	0.12087233333333332	-0.3312591667894096	-0.020198638554094428	-0.35195568293053403	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000700	Tmem119	protein_coding	0.7465783333333333	0.4808603333333334	-0.546817633243467	-0.6092487528185462	-2.0838725905883684	1.0	1.0	False	True	True	down	ENSMUSG00000054675	Tmem119	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000715	Pou1f1	protein_coding	0.24804799999999996	0.251566	0.0168832618845407	-0.08586694630244107	0.04467581355071963	1.0	1.0	False	False	False	up	ENSMUSG00000004842	Pou1f1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000726	Olr1671	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000054940	Or2j3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000746	Olr1695	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000747	Olr1694	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000749	Olr1693	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000759	Olr1730	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000765	Olr1743	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000064121	Or11a4	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000767	AC112568	unprocessed_pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000768	Ubd	protein_coding;processed_transcript	0.023714272000000005	0.024938901333333336	0.012181093308310853	-0.03375461705948446	0.03734478088015397	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000782	Trim10	protein_coding	0.07765233333333334	0.06538466666666667	-0.032653698435435086	0.22164117975059838	-0.05717249558001746	1.0	1.0	False	False	False	down	ENSMUSG00000073400	Trim10	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000783	Trim40	protein_coding	0.0001	0.08409033333333334	0.8035789251550867	0.7863749348971267	1.5858603012038839	1.0	1.0	False	True	True	up	ENSMUSG00000073399	Trim40	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000814	Fabp7	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000846	Ly6g5c	protein_coding	0.013235333333333333	0.06833733333333333	0.5174032728480547	0.9732855575985497	0.901101002298374	1.0	1.0	False	True	True	up	ENSMUSG00000034482	Ly6g5c	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000853	Aif1	protein_coding;retained_intron	0.086258976	0.09339921966666666	-0.05740545268279851	-0.008617874722744556	-0.068881361627649	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000854	Ncr3	protein_coding	0.015563666666666668	0.0001	-0.20018221916198664	-0.2660938238948285	-1.2817214784654791	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000855	Lst1	protein_coding	0.0001	0.04050630733333333	0.38156160921963833	0.0	0.6531972647421809	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000861	Zic3	protein_coding	0.0001	0.016281566333333334	0.19014201342689363	0.0	0.6531972647421804	1.0	1.0	False	False	False	up	ENSMUSG00000067860	Zic3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000871	Cd40lg	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000031132	Cd40lg	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000873	Brs3	protein_coding	0.020438	0.009519666666666666	-0.13627135888219088	-0.37790173314069886	-0.5082160438585342	1.0	1.0	False	True	False	down	ENSMUSG00000031130	Brs3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000875	Fhl1	protein_coding	0.3175680526666667	0.315828628	-0.012722331426811673	-0.007246978056175246	-0.05519948851265902	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000886	Caln1	protein_coding	0.0001	0.026116666666666667	0.27721683643243544	0.0	0.6531972647421812	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000896	AABR07070892	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000904	Wdr95	protein_coding	0.025704341000000002	0.024222446999999998	0.0024272010604047267	0.11560603758393473	0.004504996410266851	1.0	1.0	False	True	False	up	ENSMUSG00000029658	Wdr95	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000907	Alox5ap	protein_coding	0.17300366666666667	0.0001	-1.4379748349991541	-1.360719283696767	-8.105834716333003	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000916	LOC100910196	protein_coding	0.077004	0.04108133333333333	-0.3347868048063991	-0.3741422474672147	-1.6405129788002932	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000917	Nupr2	protein_coding	0.366916	0.358012	0.1006099480904965	0.4011766344428187	0.0917728167886431	1.0	1.0	False	True	False	up	ENSMUSG00000095789	Nupr2	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000000934	Piwil1	protein_coding	0.003649333333333333	0.0030086666666666664	-0.00841912275934531	0.0	-0.0871841947594207	1.0	1.0	False	False	False	down	ENSMUSG00000029423	Piwil1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000943	AC136867	processed_pseudogene	0.022895000000000002	0.029917333333333337	0.056657840959986494	0.0	0.09340862125622075	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000952	Gsx1	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000053129	Gsx1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000958	AABR07055943	pseudogene	1.1532303333333334	1.0051276666666666	-0.19850832810442592	-0.07279668859186669	-0.8103938071984306	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000961	Glt1d1	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000049971	Glt1d1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000964	AABR07036087	processed_pseudogene	1.374269	1.1702276666666667	-0.23943483963825507	-0.139259515030132	-0.6287385688389583	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000969	Cyp3a18	protein_coding;nonsense_mediated_decay	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000973	Tex45	protein_coding	0.05008666666666667	0.018330333333333334	-0.3639208067516253	-0.6125610706909983	-0.9723231847281885	1.0	1.0	False	True	False	down	ENSMUSG00000040340	Saxo5	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000978	AABR07035374	processed_transcript	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001001	Retn	protein_coding	0.0001	0.014041999999999999	0.16789897753208116	0.0	0.6531972647421808	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000001006	Nptx2	protein_coding;retained_intron	0.2952790963333333	0.24816975333333335	-0.259994243251195	-0.7097927231086496	-0.30279795376540275	1.0	1.0	False	True	False	down	ENSMUSG00000059991	Nptx2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001017	Cd209	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001027	LOC100363064	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001066	Itih2	protein_coding	0.0027240000000000003	0.0035953333333333328	0.011503840846973645	0.0	0.12488124395682992	1.0	1.0	False	False	False	up	ENSMUSG00000037254	Itih2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001071	AABR07035091	protein_coding	0.318768	0.26275333333333334	0.10996505443385862	0.7991901955988099	0.1086759284585731	1.0	1.0	False	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000001082	Abcb9	protein_coding	0.3493676666666667	0.28317766666666666	-0.22749670832702718	-0.1380833225310747	-0.9947422208367419	1.0	1.0	False	True	False	down	ENSMUSG00000029408	Abcb9	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001092	Kl	protein_coding	0.0001	0.016614	0.21260456366357383	0.3028237302111507	1.3014388680924953	1.0	1.0	False	True	False	up	ENSMUSG00000058488	Kl	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001113	Mmd2	protein_coding	0.032841333333333333	0.011961000000000001	-0.23589091327504086	-0.48516943746359686	-0.6264898751143299	1.0	1.0	False	True	False	down	ENSMUSG00000039533	Mmd2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001141	Srrm4	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000063919	Srrm4	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001152	Glp1r	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001153	Pla2g1b	protein_coding	0.0001	0.012063333333333336	0.14735286429459515	0.0	0.653197264742181	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000001157	Umodl1	protein_coding	0.013272	0.024763333333333335	0.14595233690051668	0.20644827379238073	0.8328822690755449	1.0	1.0	False	True	False	up	ENSMUSG00000054134	Umodl1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001159	Tff3	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000024029	Tff3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001162	Tff2	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000024028	Tff2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001164	Tff1	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001165	Tmprss3	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000024034	Tmprss3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001167	Ubash3a	protein_coding	0.0001	0.006030999999999999	0.0786786951355829	0.0	0.6531972647421822	1.0	1.0	False	False	False	up	ENSMUSG00000042345	Ubash3a	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001198	Fam222a	protein_coding	0.18491066666666667	0.240806	0.20990428740133704	0.22660570111132494	0.48975828669123744	1.0	1.0	False	True	False	up	ENSMUSG00000041930	Fam222a	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001212	Dnmt3l	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000000730	Dnmt3l	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001213	Aire	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000000731	Aire	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001216	Trpm2	protein_coding	0.025204666666666667	0.0001	-0.30203393091378006	-0.3045168768337283	-1.136011375416665	1.0	1.0	False	True	False	down	ENSMUSG00000009292	Trpm2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001217	Lrrc3	protein_coding	0.3393893333333333	0.38924566666666666	0.17252021615039226	0.31204548283100886	0.707659001992059	1.0	1.0	False	True	False	up	ENSMUSG00000051652	Lrrc3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001218	AABR07044583	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000001219	Tspear	protein_coding	0.02141066666666667	0.013101333333333333	-0.07927112767116418	0.0	-0.18142981987510237	1.0	1.0	False	False	False	down	ENSMUSG00000069581	Tspear	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000001220	LOC100361664	protein_coding	0.08071733333333334	0.09437866666666667	0.05443648921390398	0.0	0.04064514263498466	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
